           0;           0;      22.104;      40.115;           0;           0;     -3.1341;      -44.86;           0;           0;    0.046555;     0.15548;           0;           0;
           2;           0;      22.566;      39.978;           0;           0;     -3.6019;     -44.929;           0;           0;    0.048257;     0.15535;           0;           0;
           4;           0;      23.028;      39.836;           0;           0;     -4.0715;     -44.994;           0;           0;    0.049962;      0.1552;           0;           0;
           0;         0.5;      22.197;      40.034;           0;           0;     -3.2496;     -44.827;           0;           0;    0.046935;     0.15527;           0;           0;
           2;         0.5;      22.658;      39.896;           0;           0;     -3.7173;     -44.894;           0;           0;    0.048636;     0.15514;           0;           0;
           4;         0.5;      23.119;      39.754;           0;           0;     -4.1867;     -44.957;           0;           0;    0.050339;     0.15499;           0;           0;
           0;           1;      116.39;     -43.114;           0;           0;     -23.794;     -43.677;           0;           0;    0.091376;     0.15863;           0;           0;
           2;           1;      116.21;     -44.407;           0;           0;     -24.297;     -43.532;           0;           0;    0.093211;     0.15805;           0;           0;
           4;           1;      116.01;       -45.7;           0;           0;     -24.799;      -43.38;           0;           0;    0.095044;     0.15745;           0;           0;
           0;         1.5;       116.5;     -43.148;           0;           0;     -23.751;     -43.354;           0;           0;    0.091188;     0.15744;           0;           0;
           2;         1.5;      116.32;     -44.442;           0;           0;      -24.25;     -43.208;           0;           0;     0.09301;     0.15686;           0;           0;
           4;         1.5;      116.13;     -45.737;           0;           0;     -24.748;     -43.056;           0;           0;    0.094831;     0.15626;           0;           0;
           0;           2;      116.62;     -43.182;           0;           0;     -23.708;     -43.031;           0;           0;       0.091;     0.15626;           0;           0;
           2;           2;      116.44;     -44.477;           0;           0;     -24.203;     -42.884;           0;           0;     0.09281;     0.15567;           0;           0;
           4;           2;      116.25;     -45.773;           0;           0;     -24.698;     -42.732;           0;           0;    0.094618;     0.15507;           0;           0;
           0;         2.5;      116.74;     -43.216;           0;           0;     -23.664;     -42.707;           0;           0;    0.090811;     0.15507;           0;           0;
           2;         2.5;      116.56;     -44.512;           0;           0;     -24.156;      -42.56;           0;           0;    0.092609;     0.15449;           0;           0;
           4;         2.5;      116.36;      -45.81;           0;           0;     -24.648;     -42.408;           0;           0;    0.094404;     0.15388;           0;           0;
